kota,kec,kelurahan,rw,trw,trt,tkk,tj,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
1,1,JOHAR BARU,"RW 01, 02, 06, 08",4,4,35,140,10 s/d 30 cm,tgl. 01 Januari,0,0,0,0,140,1,0,0
1,2,GUNUNG SAHARI SELATAN,"RW 01, 02, 07, 08",4,4,0,0,10 s/d 70 cm,tgl. 01 Januari,0,0,0,0,0,0,0,0
1,2,SERDANG,"RW 01, 02, 06, 07",4,4,0,0,10 s/d 30 cm,tgl. 01 Januari,1,0,0,0,0,0,0,0
1,3,PASAR BARU,"RW 02, 03, 04, 05, 06, 07, 08",7,7,155,625,10 s/d 70 cm,tgl. 01 Januari,0,0,0,0,625,5,0,0
1,4,BENDUNGAN HILIR,"RW 07, 09",2,2,52,195,31 s/d 70 cm,tgl. 01 Januari,0,0,0,0,195,6,0,0
1,4,KARET TENGSIN,"RW 02, 03, 04, 05, 06, 07, 09, 11",8,31,535,2078,71 s/d 150 cm,tgl. 01 Januari,0,0,0,0,2078,8,0,0
1,4,PETAMBURAN,"RW 02, 03",2,2,0,0,40 s/d 60 cm,tgl. 18 Januari ,1,0,0,0,0,0,0,0
2,5,CILINCING,"RW 05, 06, 09",3,21,280,1121,10 s/d 35 cm,tgl. 01 Januari,0,0,0,0,1121,14,0,0
2,5,MARUNDA,RW 04,1,1,0,0,10 s/d 30 cm,tgl. 01 Januari,0,0,0,0,0,0,0,0
2,5,ROROTAN,"RW 01, 02, 03, 04, 05",5,5,36,150,10 s/d 150 cm,"tgl. 01, 24 Januari",1,0,0,0,338,3,0,0
2,5,SEMPER BARAT,"RW 01, 02, 04, 05, 16",5,5,143,574,10 s/d 70 cm,tgl. 01 Januari,0,0,0,0,574,7,0,0
2,5,SEMPER TIMUR,"RW 02, 03, 10, 11",4,6,30,120,10 s/d 150 cm,tgl. 01 Januari,0,0,0,0,120,4,0,0
2,5,SUKA PURA,"RW 02, 03, 04, 05, 06, 07, 09, 10, 12",9,9,70,278,10 s/d 150 cm,tgl. 01 Januari,0,0,0,0,278,2,0,0
2,6,KELAPA GADING BARAT,"RW 02, 03, 06, 11, 12",5,5,0,0,10 s/d 30 cm,tgl. 01 Januari,0,0,0,0,0,0,0,0
2,6,KELAPA GADING TIMUR,"RW 15, 16",2,2,25,100,10 s/d 30 cm,tgl. 01 Januari,0,0,0,0,100,2,0,0
2,6,PEGANGSAAN DUA,"RW 02, 03, 04, 08, 09, 10, 11",7,7,52,210,10 s/d 70 cm,tgl. 01 Januari,0,0,0,0,210,3,0,0
2,7,TUGU SELATAN,RW. 04,1,1,0,0,20 s/d 50 cm,tgl. 01 Januari ,0,0,0,0,0,0,0,0
2,8,KAPUK MUARA,"RW. 01, 02, 03, 04, 05, 09",6,6,0,0,20 s/d 40 cm,tgl. 01 Januari,0,0,0,0,0,0,0,0
2,8,PEJAGALAN,"RW 08, 09, 10, 12, 13, 14, 15",7,7,292,1168,10 s/d 150 cm,tgl. 01 Januari,0,0,0,0,1168,10,0,0
2,8,PENJARINGAN,RW 17,1,1,0,0,10 s/d 30 cm,tgl. 01 Januari,0,0,0,0,0,0,0,0
2,8,PLUIT,"RW 01, 11, 22",3,3,0,0,15 s/d 70 cm,"tgl. 24, 27, 28, 30, 31  Januari",0,0,0,0,0,0,0,0
2,9,ANCOL,"RW 02, 05, 08, 10",4,4,0,0,10 s/d 30 cm,tgl. 24 Januari,0,0,0,0,0,0,0,0
3,10,CENGKARENG BARAT,"RW 01, 03, 05, 06, 07, 09, 10, 11, 14",9,9,550,2220,31 s/d 70 cm,"tgl. 01, 24 Januari",0,0,0,0,2220,20,0,0
3,10,CENGKARENG TIMUR,"RW 02, 03, 04, 05, 06, 12, 13, 14, 16",9,9,90,362,10 s/d 70 cm,tgl. 01 Januari,1,0,0,0,362,6,0,0
3,10,DURI KOSAMBI,"RW 01, 02, 03, 04, 05, 06, 07,08, 09, 10, 11, 12, 13, 14, 15",15,15,307,1230,71 s/d 150 cm,tgl. 01 Januari,1,0,0,0,1230,8,0,0
3,10,KAPUK,"RW 02, 03, 04, 05, 06, 07, 08, 09, 10, 12, 13, 15 ,16",13,13,1115,4461,31 s/d 70 cm,"tgl. 01, 24 Januari",1,0,0,0,4461,9,0,0
3,10,KEDAUNG KALI ANGKE,"RW 01, 02, 03, 04, 05, 06, 07, 08",8,8,701,2804,31 s/d 70 cm,tgl. 01 Januari,0,0,0,0,2804,31,0,0
3,10,RAWA BUAYA,"RW 01, 02, 03, 04, 11, 12",6,6,533,2133,31 s/d 70 cm,tgl. 01 Januari,0,0,0,0,2133,7,0,0
3,11,JELAMBAR BARU,"RW 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13",13,13,15,60,31 s/d 70 cm,tgl. 01 Januari,0,0,0,0,60,1,0,0
3,11,TANJUNG DUREN UTARA,"RW 01, 02, 04, 05, 07",5,5,21,85,10 s/d 150 cm,tgl. 01 Januari,0,0,0,0,85,3,0,0
3,11,TOMANG,RW 14,1,1,6,24,31 s/d 70 cm,tgl. 01 Januari,0,0,0,0,24,1,0,0
3,11,WIJAYA KUSUMA,"RW 01, 02, 03, 04, 05, 07, 08, 09",8,8,52,208,31 s/d 70 cm,tgl. 01 Januari ,0,0,0,0,208,3,0,0
3,12,KALIDERES,"RW 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 16, 17",12,12,37,147,31 s/d 70 cm,tgl. 01 Januari,0,0,0,0,147,1,0,0
3,12,KAMAL,"RW 01, 02, 03, 04, 07, 08, 09",7,7,0,0,10 s/d 70 cm,tgl. 01 Januari,0,0,0,0,0,0,0,0
3,12,PEGADUNGAN,"RW 01, 03, 04, 06, 11",5,5,0,0,10 s/d 70 cm,tgl. 01 Januari,0,0,0,0,0,0,0,0
3,12,SEMANAN,"RW 01, 03, 04, 07, 10",5,5,528,2112,31 s/d 200 cm,tgl. 01 Januari,1,0,0,0,2112,18,0,0
3,12,TEGAL ALUR,"RW 03, 04, 11, 12, 15",5,5,302,1208,31 s/d 150 cm,tgl. 01 Januari,0,0,0,0,1208,10,0,0
3,13,DURI KEPA,"'RW 02, 03, 04, 05, 09, 13, 14",7,7,60,130,31 s/d 70 cm,tgl. 01 Januari,0,0,0,0,130,4,0,0
3,13,KEDOYA SELATAN,"RW 01, 04, 05",3,3,9,36,10 s/d 150 cm,"tgl. 01, 27 Januari",0,0,0,0,36,1,0,0
3,13,KEDOYA UTARA,"RW 02, 04, 05",3,3,309,1238,31 s/d 100 cm,tgl. 01 Januari,0,0,0,0,1238,15,0,0
3,13,SUKABUMI UTARA,"RW 01, 03, 04, 07, 08, 10, 11",7,7,0,0,10 s/d 140 cm,"tgl. 01, 18 Januari",0,0,0,0,0,0,0,0
3,13,SUKABUMI SELATAN,"RW 01, 02, 04, 08",4,7,0,0,30 s/d 100 cm,tgl. 18 Januari,0,0,0,0,0,0,0,0
3,13,KELAPA DUA ,RW 04,1,1,0,0,60 cm,tgl. 18 Januari,0,0,0,0,0,0,0,0
3,14,JOGLO,"RW 02, 06",2,2,0,0,31 s/d  150 cm,tgl. 01 Januari,0,0,0,0,0,0,0,0
3,14,KEMBANGAN SELATAN,"RW 01, 02, 03, 04, 05, 06, 08, 09",8,8,177,710,31 s/d 120 cm,"tgl. 01, 27 Januari",0,0,0,0,710,6,0,0
